date,open,high,low,close
2024-12-09 13:00:00,1.05659,1.0578,1.05582,1.05762
2024-12-09 14:00:00,1.05762,1.05849,1.05713,1.05785
2024-12-09 15:00:00,1.05782,1.0593,1.05717,1.05912
2024-12-09 16:00:00,1.0591,1.05946,1.0568,1.05704
2024-12-09 17:00:00,1.05704,1.05747,1.05665,1.05669
2024-12-09 18:00:00,1.05669,1.0568,1.05602,1.05636
2024-12-09 19:00:00,1.05637,1.05647,1.05514,1.05554
2024-12-09 20:00:00,1.05554,1.05579,1.0547,1.055
2024-12-09 21:00:00,1.05501,1.05552,1.055,1.05534
2024-12-09 22:00:00,1.05535,1.05559,1.05519,1.05549
2024-12-09 23:00:00,1.05548,1.05573,1.05525,1.05545
2024-12-10 00:00:00,1.05523,1.05544,1.05488,1.05532
2024-12-10 01:00:00,1.05532,1.0554,1.05452,1.05531
2024-12-10 02:00:00,1.05533,1.05619,1.05516,1.05532
2024-12-10 03:00:00,1.05533,1.0558,1.05488,1.05566
2024-12-10 04:00:00,1.05565,1.05603,1.0556,1.05574
2024-12-10 05:00:00,1.05574,1.05629,1.05539,1.05619
2024-12-10 06:00:00,1.05618,1.05683,1.05607,1.05668
2024-12-10 07:00:00,1.05665,1.05669,1.05469,1.05487
2024-12-10 08:00:00,1.05488,1.05518,1.05376,1.05379
2024-12-10 09:00:00,1.0538,1.05385,1.05229,1.05313
2024-12-10 10:00:00,1.05311,1.0538,1.05259,1.05281
2024-12-10 11:00:00,1.05282,1.05332,1.05238,1.05316
2024-12-10 12:00:00,1.05316,1.0534,1.05202,1.05306
2024-12-10 13:00:00,1.05307,1.05322,1.05157,1.05229
2024-12-10 14:00:00,1.05236,1.05314,1.05193,1.05196
2024-12-10 15:00:00,1.052,1.05262,1.04983,1.05037
2024-12-10 16:00:00,1.05037,1.05129,1.04997,1.05115
2024-12-10 17:00:00,1.05117,1.0517,1.05045,1.05097
2024-12-10 18:00:00,1.05097,1.05271,1.05085,1.05254
2024-12-10 19:00:00,1.05256,1.05315,1.05241,1.05269
2024-12-10 20:00:00,1.05267,1.05309,1.05238,1.05267
2024-12-10 21:00:00,1.05265,1.05292,1.05235,1.05275
2024-12-10 22:00:00,1.05272,1.05292,1.05269,1.0529
2024-12-10 23:00:00,1.05288,1.05323,1.05285,1.0531
2024-12-11 00:00:00,1.05314,1.05328,1.05276,1.05292
2024-12-11 01:00:00,1.0529,1.0536,1.05281,1.05346
2024-12-11 02:00:00,1.05347,1.05396,1.05329,1.05368
2024-12-11 03:00:00,1.05367,1.05381,1.05277,1.05284
2024-12-11 04:00:00,1.05283,1.05307,1.05204,1.05246
2024-12-11 05:00:00,1.05245,1.05272,1.05208,1.05241
2024-12-11 06:00:00,1.05241,1.05284,1.05222,1.05258
2024-12-11 07:00:00,1.05261,1.05286,1.0488,1.04899
2024-12-11 08:00:00,1.04902,1.05127,1.04895,1.05056
2024-12-11 09:00:00,1.05056,1.05099,1.04963,1.05006
2024-12-11 10:00:00,1.05007,1.05016,1.0487,1.04951
2024-12-11 11:00:00,1.04952,1.05055,1.049,1.05035
2024-12-11 12:00:00,1.05034,1.05184,1.04998,1.0503
2024-12-11 13:00:00,1.05032,1.05376,1.05027,1.05244
2024-12-11 14:00:00,1.05239,1.05294,1.0494,1.05011
2024-12-11 15:00:00,1.05012,1.05084,1.04802,1.04905
2024-12-11 16:00:00,1.04906,1.05123,1.04852,1.05082
2024-12-11 17:00:00,1.05079,1.0512,1.0486,1.04878
2024-12-11 18:00:00,1.04874,1.05002,1.04831,1.04845
2024-12-11 19:00:00,1.04846,1.04944,1.04814,1.04914
2024-12-11 20:00:00,1.0491,1.04956,1.04882,1.04924
2024-12-11 21:00:00,1.04926,1.04975,1.04924,1.04964
2024-12-11 22:00:00,1.04961,1.04981,1.04912,1.04974
2024-12-11 23:00:00,1.04971,1.05068,1.04969,1.05063
2024-12-12 00:00:00,1.05058,1.05088,1.05021,1.0506
2024-12-12 01:00:00,1.05058,1.05091,1.05032,1.05062
2024-12-12 02:00:00,1.05062,1.05077,1.05017,1.05037
2024-12-12 03:00:00,1.05036,1.0509,1.05008,1.05053
2024-12-12 04:00:00,1.05055,1.05093,1.05043,1.05091
2024-12-12 05:00:00,1.05092,1.05097,1.05032,1.05063
2024-12-12 06:00:00,1.05066,1.05144,1.05042,1.05143
2024-12-12 07:00:00,1.05142,1.05312,1.05126,1.05165
2024-12-12 08:00:00,1.05164,1.05209,1.05046,1.05092
2024-12-12 09:00:00,1.05092,1.05175,1.05053,1.05103
2024-12-12 10:00:00,1.051,1.05145,1.04953,1.04967
2024-12-12 11:00:00,1.04968,1.05078,1.04943,1.05024
2024-12-12 12:00:00,1.05025,1.05042,1.04888,1.04891
2024-12-12 13:00:00,1.04892,1.05021,1.04695,1.04848
2024-12-12 14:00:00,1.0485,1.05205,1.0472,1.05193
2024-12-12 15:00:00,1.05195,1.05214,1.04636,1.04729
2024-12-12 16:00:00,1.04729,1.0516,1.04716,1.05133
2024-12-12 17:00:00,1.05133,1.05176,1.04949,1.05008
2024-12-12 18:00:00,1.05007,1.05026,1.04816,1.04822
2024-12-12 19:00:00,1.04822,1.04854,1.04722,1.04729
2024-12-12 20:00:00,1.04727,1.04748,1.04644,1.04673
2024-12-12 21:00:00,1.04672,1.04723,1.04642,1.0469
2024-12-12 22:00:00,1.0468,1.04716,1.04675,1.04709
2024-12-12 23:00:00,1.04707,1.04743,1.04645,1.04736
2024-12-13 00:00:00,1.04731,1.04807,1.04699,1.04794
2024-12-13 01:00:00,1.04794,1.04812,1.04633,1.04654
2024-12-13 02:00:00,1.04652,1.0467,1.04601,1.04605
2024-12-13 03:00:00,1.04607,1.04655,1.04595,1.04606
2024-12-13 04:00:00,1.04602,1.0464,1.04561,1.04638
2024-12-13 05:00:00,1.04639,1.04662,1.04602,1.04653
2024-12-13 06:00:00,1.04652,1.04664,1.04566,1.04658
2024-12-13 07:00:00,1.04656,1.04656,1.0453,1.04597
2024-12-13 08:00:00,1.04596,1.04721,1.04561,1.04688
2024-12-13 09:00:00,1.04685,1.04943,1.04661,1.04873
2024-12-13 10:00:00,1.04875,1.04961,1.04834,1.04872
2024-12-13 11:00:00,1.04871,1.04947,1.04861,1.04888
2024-12-13 12:00:00,1.0489,1.05195,1.04879,1.05162
2024-12-13 13:00:00,1.05161,1.05244,1.05087,1.05103
2024-12-13 14:00:00,1.05104,1.05105,1.04883,1.04905
2024-12-13 15:00:00,1.04907,1.04956,1.0482,1.0489
2024-12-13 16:00:00,1.0489,1.05063,1.04868,1.04978
2024-12-13 17:00:00,1.04979,1.05045,1.04911,1.04965
2024-12-13 18:00:00,1.04966,1.04988,1.0489,1.04958
2024-12-13 19:00:00,1.04961,1.05029,1.04916,1.04946
2024-12-13 20:00:00,1.0495,1.04977,1.04926,1.04968
2024-12-13 21:00:00,1.04971,1.05049,1.04957,1.05027
2024-12-15 22:00:00,1.04895,1.05019,1.04861,1.04961
2024-12-15 23:00:00,1.04963,1.0511,1.04963,1.05093
2024-12-16 00:00:00,1.05112,1.05192,1.05099,1.05145
2024-12-16 01:00:00,1.05144,1.05216,1.05123,1.05189
2024-12-16 02:00:00,1.05191,1.05231,1.05096,1.05125
2024-12-16 03:00:00,1.05125,1.05155,1.05096,1.05121
2024-12-16 04:00:00,1.0512,1.05168,1.05118,1.05161
2024-12-16 05:00:00,1.0516,1.05217,1.05156,1.05199
2024-12-16 06:00:00,1.052,1.05209,1.05117,1.05137
2024-12-16 07:00:00,1.05136,1.05212,1.05044,1.05047
2024-12-16 08:00:00,1.05046,1.05248,1.05,1.05088
2024-12-16 09:00:00,1.05089,1.05212,1.05033,1.0505
2024-12-16 10:00:00,1.05052,1.05064,1.04884,1.04892
2024-12-16 11:00:00,1.04891,1.04928,1.04833,1.04906
2024-12-16 12:00:00,1.04908,1.05002,1.04897,1.04906
2024-12-16 13:00:00,1.04905,1.05085,1.04903,1.05079
2024-12-16 14:00:00,1.05073,1.05083,1.04746,1.04828
2024-12-16 15:00:00,1.04826,1.0513,1.04826,1.05065
2024-12-16 16:00:00,1.05064,1.05135,1.04952,1.05116
2024-12-16 17:00:00,1.05114,1.05208,1.05053,1.05113
2024-12-16 18:00:00,1.05115,1.05218,1.05056,1.05207
2024-12-16 19:00:00,1.05205,1.05228,1.05064,1.05101
2024-12-16 20:00:00,1.05099,1.05114,1.05066,1.0508
2024-12-16 21:00:00,1.05084,1.05158,1.05068,1.05114
2024-12-16 22:00:00,1.05122,1.05135,1.05087,1.05103
2024-12-16 23:00:00,1.05103,1.05187,1.05096,1.05173
2024-12-17 00:00:00,1.05168,1.05345,1.05149,1.05287
2024-12-17 01:00:00,1.05288,1.053,1.05186,1.05213
2024-12-17 02:00:00,1.05215,1.05272,1.05166,1.05171
2024-12-17 03:00:00,1.0517,1.05195,1.05112,1.05125
2024-12-17 04:00:00,1.05124,1.05127,1.05078,1.05083
2024-12-17 05:00:00,1.05083,1.05104,1.05025,1.05047
